ch01_001|atmosphere|ˈætməsfɪə(r)|n. 大气层，大气圈；气氛|The approaching examination created a tense atmosphere on the campus.
ch01_002|hydrosphere|ˈhaɪdrəʊsfɪə(r)|n. 水圈；大气中的水汽|All the water of the earth’s surface is included in the hydrosphere.
ch01_003|lithosphere|ˈlɪθəsfɪə(r)|n. 岩石圈|The hydrosphere and the lithosphere together form the earth’s surface.
ch01_004|oxygen|ˈɒksɪdʒən|n. 氧气|Hydrogen and oxygen are gases.
ch01_005|oxide|ˈɒksaɪd|n. 氧化物|Oxide is a part of our daily life.
ch01_006|carbon dioxide|ˌkɑːbən daɪˈɒksaɪd|n. 二氧化碳|Soft drinks usually contain carbon dioxide.
ch01_007|hydrogen|ˈhaɪdrədʒən|n. 氢气|Two parts hydrogen, one part oxygen, you’ll get water every time.
ch01_008|core|kɔː(r)|n. 中心，核心；地核|He is the core of the working group.
ch01_009|crust|krʌst|n. 地壳；外壳|The crust on the snow was thick enough for us to walk on it.
ch01_010|mantle|ˈmæntl|n. 地幔；斗篷，披风 v. 覆盖|Parents often use mantles for their babies to keep warm.
ch01_011|longitude|ˈlɒŋɡɪtjuːd|n. 经度|The captain determines the latitude and longitude of his ship.
ch01_012|latitude|ˈlætɪtjuːd|n. 纬度|Our position is 40 degrees north latitude.
ch01_013|horizon|həˈraɪz(ə)n|n. 地平线；[~s] 眼界，见识|I could see a ship on the horizon.
ch01_014|altitude|ˈæltɪtjuːd|n. 高度，海拔|We are currently flying at an altitude of 8,000 metres.
ch01_015|disaster|dɪˈzɑːstə(r)|n. 灾难|There was a great flood disaster in East China.
ch01_016|mishap|ˈmɪshæp|n. 小灾难|A mishap prevented him from attending the routine company meeting.
ch01_017|catastrophic|ˌkætəˈstrɒfɪk|adj. 灾难性的|If the forecast had been wrong, the consequences could have been catastrophic.
ch01_018|calamity|kəˈlæməti|n. 灾难，不幸的事|A hurricane would be a calamity for this low-lying coastal region.
ch01_019|endanger|ɪnˈdeɪndʒə(r)|v. 使遭受危险，危及|If you work hard without rest, you will endanger your health.
ch01_020|jeopardise|ˈdʒepədaɪz|v. 危害，危及|If you are rude to the boss, your chances of success may be jeopardised.
ch01_021|destructive|dɪˈstrʌktɪv|adj. 破坏性的，有害的|Jealousy is an extremely destructive emotion.
ch01_022|El Niño|el'ni:njau|n. 厄尔尼诺现象（赤道附近东太平洋水域大范围海水反常增温、鱼群大量死亡的现象）|What changed the equation that year was El Niño.
ch01_023|greenhouse|ˈɡriːnhaʊs|n. 温室，暖房|The flowers are grown in the greenhouse.
ch01_024|phenomenon|fəˈnɒmɪnən|n. 现象|Snow is an almost unknown phenomenon in Egypt.
ch01_025|pebble|ˈpeb(ə)l|n. 鹅卵石|The boy put his hand into the money bag and drew out a pebble.
ch01_026|magnet|ˈmæɡnət|n. 磁铁，吸铁石|He picked all the pins up with a magnet.
ch01_027|ore|ɔː(r)|n. 矿石；矿|This mountain area is rich in iron ore.
ch01_028|mineral|ˈmɪnərəl|n. 矿物，矿物质；矿产|China is rich in mineral resources.
ch01_029|marble|ˈmɑːb(ə)l|n. 大理石；（玩具）弹球|They used marble to build the steps.
ch01_030|quartz|kwɔːts|n. 石英|Have you bought the quartz clock?
ch01_031|granite|ˈɡrænɪt|n. 花岗岩|His grave is made of granite.
ch01_032|gust|ɡʌst|n. 一阵狂风；（感情的）迸发|A gust of wind blew the leaves off the trees.
ch01_033|breeze|briːz|n. 微风，和风|We are enjoying the cool breeze that comes from the lake.
ch01_034|monsoon|ˌmɒnˈsuːn|n. 季风；雨季|The monsoon brings rain to us.
ch01_035|gale|ɡeɪl|n. 大风|We got our roof blown off in a gale last night.
ch01_036|hurricane|ˈhʌrɪkən|n. 飓风；暴风|The hurricane flung their motorboat upon the rocks.
ch01_037|tornado|tɔːˈneɪdəʊ|n. 龙卷风|When a tornado touches the ground, it does a lot of damage.
ch01_038|typhoon|taɪˈfuːn|n. 台风|The typhoon is gathering strength.
ch01_039|volcano|vɒlˈkeɪnəʊ|n. 火山|The volcano erupted and two small towns were buried under metres of hot ash, mud and bits of molten rock.
ch01_040|erupt|ɪˈrʌpt|v. 爆发，喷发；（斑疹等）突然出现|Hot lava erupted from the crust.
ch01_041|magma|ˈmæɡmə|n. 岩浆|Some types of minerals are made when magma cools and solidifies.
ch01_042|thermodynamic|ˌθɜːməʊdaɪˈnæmɪk|adj. 热力的；热力学的|His theory violates current thermodynamic laws.
ch01_043|smog|smɒɡ|n. 烟雾，雾霾|The smog was so bad that schoolchildren were advised to stay indoors.
ch01_044|fume|fjuːm|n. [~s]（难闻且常为有害的）烟，气体 v. 冒烟；发怒|Petrol fumes from cars are poisoning the atmosphere.
ch01_045|mist|mɪst|n. 薄雾；水汽；使视线模糊的东西|She could hardly recognise her son through a mist of tears.
ch01_046|tsunami|tsuːˈnɑːmi|n. 海啸|A terrible tsunami followed the earthquake.
ch01_047|drought|draʊt|n. 干旱，旱灾|Many areas in Africa have suffered severe drought this year.
ch01_048|flooding|ˈflʌdɪŋ|n. 洪水泛滥|Since the flooding began last month, 16 people have died statewide.
ch01_049|torrent|ˈtɒrənt|n. 激流，洪流|A torrent of water poured down the mountain.
ch01_050|earthquake|ˈɜːθkweɪk|n. 地震|Several countries in eastern Europe are counting the losses caused by yesterday’s earthquake.
ch01_051|seismic|ˈsaɪzmɪk|adj. 地震的，地震引起的|The discovery of seismic activity suggests geological activity could provide large amounts of heat and minerals.
ch01_052|avalanche|ˈævəlɑːnʃ|n. 雪崩|Yesterday’s avalanche destroyed several trees.
ch01_053|terrain|təˈreɪn|n. 地形|He climbed a tree to view the surrounding terrain.
ch01_054|landscape|ˈlændskeɪp|n. 风景，地貌 v. 对……进行景观美化|The trees and the mountains made the landscape very beautiful.
ch01_055|continent|ˈkɒntɪnənt|n. 大陆；洲|It is generally thought that Columbus discovered the American continents.
ch01_056|cave|keɪv|n. 洞穴，山洞|This cave was used by smugglers in the eighteenth century.
ch01_057|cliff|klɪf|n. 悬崖，峭壁|The narrow path leads to a wooden hut on the cliff.
ch01_058|glacier|ˈɡlæsiə(r)|n. 冰河，冰川|The glacier dislocated the great stones.
ch01_059|swamp|swɒmp|n. 沼泽，湿地|In the swamp, we were beset by mosquitoes.
ch01_060|delta|ˈdeltə|n. 三角洲|The Nile Delta used to be a fertile land.
ch01_061|plain|pleɪn|n. 平原 adj. 简朴的；明白的|Once there were 70 million buffalo roaming the Great Plains.
ch01_062|plateau|ˈplætəʊ|n. 高原|The atmosphere is thin on the plateau.
ch01_063|oasis|əʊˈeɪsɪs|n. 绿洲；宜人之地|Oasis symbolises a hope in desert areas.
ch01_064|vertical|ˈvɜːtɪk(ə)l|adj. 垂直的，直立的|In some places the cliff was almost vertical, and too dangerous to climb.
ch01_065|steep|stiːp|adj. 陡峭的，陡直的|A long steep path leads to a teahouse with a grand view of the sea.
ch01_066|parallel|ˈpærəlel|n. 平行线；相似之物；相似之处 adj. 平行的 v. 与…… 相似；比得上|There are few parallels between American football and European football.
ch01_067|narrow|ˈnærəʊ|adj. 狭窄的；有局限的 n. [~s] 海峡 v. 变窄|The only access to the garden is by a narrow path at the side of the house.
ch01_068|globe|ɡləʊb|n. 球体；地球仪；[the ~] 地球|There are people in almost every habitable part of this globe.
ch01_069|hemisphere|ˈhemɪsfɪə(r)|n. 半球|In the northern hemisphere, you can hardly see the Magellanic Clouds.
ch01_070|equator|ɪˈkweɪtə(r)|n. 赤道|The equator is an imaginary line around the middle of the earth.
ch01_071|arctic|ˈɑːktɪk|adj. 极冷的；[A~] 北极的 n. [the A~] 北极地区，北极|The polar bear’s habitat is the icy waters of the Arctic.
ch01_072|Antarctic|ænˈtɑːktɪk|adj. 南极的 n. [the ~] 南极地区，南极洲|Because of the extreme cold, the environment in the Antarctic is uniquely fragile.
ch01_073|pole|pəʊl|n.（地）极；截然相反的两极之一|English is spoken from pole to pole.
ch01_074|polar|ˈpəʊlə(r)|adj. 极地的，近极地的；对立的|In these polar regions, the balance of nature has already been disrupted.
ch01_075|axis|ˈæksɪs|n. 轴，轴线|The earth’s axis is the line between the North and South Poles.
ch01_076|deteriorate|dɪˈtɪəriəreɪt|v. 恶化，变坏|Relations between the two countries have deteriorated sharply in recent weeks.
ch01_077|aggravate|ˈæɡrəveɪt|v. 加重，加剧，使恶化|Grief aggravated her illness.
ch01_078|degrade|dɪˈɡreɪd|v. 降解；降低……的身份；使恶化，使退化|A dishonest action like that will degrade you.
ch01_079|erode|ɪˈrəʊd|v. 侵蚀，腐蚀|The waves erode the rocks on the shore.
ch01_080|Mediterranean|ˌmedɪtəˈreɪniən|adj. 地中海的；地中海地区的 n. 地中海；地中海地区|This dish is a cross between Asian and Mediterranean food.
ch01_081|Atlantic|ətˈlæntɪk|adj. 大西洋的 n. [the ~] 大西洋|The Atlantic coast is within sight of the hotel.
ch01_082|pacific|pəˈsɪfɪk|adj. 平静的，和平的；[P~] 太平洋的 n. [the P~] 太平洋|What a beautiful and pacific place this is!
ch01_083|ocean|ˈəʊʃ(ə)n|n. 海洋；（五大洋之一的）洋|These creatures live in the depth of the Pacific Ocean.
ch01_084|marine|məˈriːn|adj. 海生的，海洋的；海事的 n. 水兵|It is true that a lot of people like marine plants as their food.
ch01_085|navigation|ˌnævɪˈɡeɪʃn|n. 航行；航海|Navigation is a game for brave people.
ch01_086|gulf|ɡʌlf|n. 海湾|The gulf extends northward.
ch01_087|beach|biːtʃ|n. 海滩，河滩|They walked along the beach, talking and laughing.
ch01_088|coast|kəʊst|n. 海岸，海滨|He is going to live by the coast for the sake of his health.
ch01_089|shore|ʃɔː(r)|n.（海、湖等大水域的）岸，滨|His ship pulled in to the shore at midnight.
ch01_090|tide|taɪd|n. 趋势，潮流；潮汐|The gravitational attraction between the moon and the earth causes tides.
ch01_091|current|ˈkʌrənt|n. 水流，潮流；电流；气流|He was swept away by the current.
ch01_092|brook|brʊk|n. 小河，溪|Before we drink at a brook, it is good to know its source.
ch01_093|stream|striːm|n. 小河，溪；流 v. 流动，流出|On either bank of the stream stand rows of willow trees.
ch01_094|source|sɔːs|n. 河的源头；根源|I’ve heard from reliable sources that the company is in trouble.
ch01_095|shallow|ˈʃæləʊ|adj. 浅的；肤浅的，浅薄的|The sea is shallow here.
ch01_096|flat|flæt|adj. 平坦的；扁平的；单调的|In flat open country, there is plenty of grass for the cattle to feed on.
ch01_097|smooth|smuːð|adj. 光滑的；平稳的；流畅的|The process of negotiation was not entirely smooth.
ch01_098|rough|rʌf|adj. 粗糙的；粗略的|You’d better give us a rough idea of your price.
ch01_099|sandy|ˈsændi|adj. 铺满沙的；含沙的|We walked across the fields on the sandy path.
ch01_100|stony|ˈstəʊni|adj. 石头的；多石的|The ground in this part of the country is poor and stony.
ch01_101|upgrade|ˌʌpˈɡreɪd|V. 使升级；提高，改善|The antivirus software should often be upgraded.
ch01_102|superficial|ˌsuːpərˈfɪʃl|adj. 表皮的，表层的|Superficial scratches can be easily removed .
ch01_103|shower|ˈʃaʊə(r)|n. 阵雨；（一）阵；淋浴|The weatherman predicts showers this afternoon.
ch01_104|Oceania|ˌəʊsiˈɑːniə|n. 大洋洲|Oceania is a separate landmass, but it is separated from Asia by very shallow water.
ch01_105|mainland|ˈmeɪnlənd; ˈmeɪnlænd|n. 大陆，本土|Hawaii and Alaska are not on the mainland of the United States.
ch01_106|peninsula|pəˈnɪnsjələ|n. 半岛|His house is located on the tip of the peninsula.
ch01_107|climate|ˈklaɪmət|n. 气候；风气，思潮，环境|The current political climate in that country is favourable for foreign investment.
ch01_108|weather|ˈweðə(r)|n. 天气，气象|In warm weather, you should wear clothing that is cool and comfortable.
ch01_109|meteorology|ˌmiːtiəˈrɒlədʒi|n. 气象学|Nowadays, few people like to study meteorology.
ch01_110|mild|maɪld|adj. 温和的；不严重的|The weather is mild today; it is neither hot nor cold.
ch01_111|heating|ˈhiːtɪŋ|n. 供暖；暖气装置|The workers are installing a heating system.
ch01_112|moderate|ˈmɒdərət; ˈmɒdəreɪt|adj.适度的；温和的；中等的 v.（使）缓和|The wind was strong all day, but it moderated in the evening.
ch01_113|warm|wɔːm|adj. 温暖的 v（使）变暖|The blood of a warm-blooded animal remains around the same temperature both on warm and cold days.
ch01_114|thermal|ˈθɜːm(ə)l|adj. 热量的|The thermal energy has become more and more important.
ch01_115|tropics|ˈtrɒpɪks|n. [the ~] 热带地区|He lives in the tropics.
ch01_116|arid|ˈærɪd|adj. 干燥的，干旱的；枯燥的|It is difficult to grow fruit in arid desert areas.
ch01_117|moist|mɔɪst|adj. 潮湿的，湿润的|His eyes were moist with tears.
ch01_118|damp|dæmp|adj. 潮湿的，湿气重的|The damp match won’t strike.
ch01_119|humid|ˈhjuːmɪd|adj. 潮湿的，湿热的|The milk powder has lumped together because my home is so humid.
ch01_120|snowy|ˈsnəʊi|adj. 下雪多的；被雪覆盖的|The snowy weather lasted the whole time we were there.
ch01_121|frost|frɒst|n. 霜；霜冻；严寒|Sweet potatoes decayed after the frost.
ch01_122|hail|heɪl|n. 雹，冰雹 v. 赞扬；招呼；下雹|It hailed during the night.
ch01_123|thaw|θɔː|v. 解冻，融解，融化 n. 解冻时期|The sun thawed the ice and melted the snow.
ch01_124|chill|tʃɪl|v.（使）变冷；使恐惧 n. 寒冷；害怕|The bad news cast a chill over the whole family.
ch01_125|freeze|friːz|v. 结冰 n. 霜冻；严寒期|The weatherman predicted a freeze for tonight.
ch01_126|frigid|ˈfrɪdʒɪd|adj. 寒冷的|Hohhot is a frigid city in winter.
ch01_127|tremble|ˈtremb(ə)l|v.n. 战栗，颤抖|There was a tremble in her voice.
ch01_128|shiver|ˈʃɪvə(r)|v. 颤抖，哆嗦，发抖|She shivered because she was worried and afraid.
ch01_129|thunder|ˈθʌndə(r)|n. 雷；雷声 v. 打雷；轰隆隆地快速移动|An express train thundered through the station.
ch01_130|lightning|ˈlaɪtnɪŋ|n. 闪电 adj. 闪电般的，极快的|During the storm, flashes of lightning appeared in the sky.
ch01_131|stormy|ˈstɔːmi|adj. 有暴风雨的；争吵激烈的；（大海）波涛汹涌的|Our ship was tossed about on the stormy sea.
ch01_132|downpour|ˈdaʊnpɔː(r)|n. 倾盆大雨|For the past six hours, the downpour had been continuous.
ch01_133|rainfall|ˈreɪnfɔːl|n. 降雨量|There have been four years of below-average rainfall.
ch01_134|sprinkle|ˈsprɪŋk(ə)l|v. 撒，洒；下小雨 n. 少量；小雨|We’ve only had a few sprinkles of rain recently.
ch01_135|rainbow|ˈreɪnbəʊ|n. 虹，彩虹|A rainbow is usually seen after a heavy rain.
ch01_136|Celsius|ˈselsiəs|adj. 摄氏的 n. 摄氏温度|The maximum temperature in July may be 36 degrees Celsius.
ch01_137|temperature|ˈtemprətʃə(r)|n. 气温；体温；温度|After the storm, there will be a sharp drop in temperature.
ch01_138|forecast|ˈfɔːkɑːst|n. 预测，预报 v. 预测，预言|The recent statement of the president forecasts a change in the situation.
ch01_139|peak|piːk|n. 山峰；顶点 v. 达到最大值|The mountain peaks are covered with snow all year round.
ch01_140|mount|maʊnt|v. 渐渐增加；爬上，登上 n. [M~] 山|The old lady can only mount the stairs with difficulty.
ch01_141|mountain|ˈmaʊntən|n. 山，山岳，高山|The northern side of the mountain is almost vertical.
ch01_142|ridge|rɪdʒ|n. 山脊，山脉 v. 使隆起|The sky above the ridge of the mountains brightened.
ch01_143|slope|sləʊp|v. 倾斜；有坡度 n. 山坡；斜坡|He ran up the slope to the top of the hill.
ch01_144|valley|ˈvæli|n. 山谷，溪谷|The valley was hidden from view in the mist.
ch01_145|hillside|ˈhɪlsaɪd|n.（小山的）山腰，山坡|The path steepened as they climbed the hillside.
ch01_146|overlook|ˌəʊvəˈlʊk|v. 俯瞰，远眺；未注意到|The house on the hill overlooks the village.
ch01_147|southern|ˈsʌðən|adj. 南部的；南方的|Only in the southern part of Taiwan have I seen such scenery.
ch01_148|southeast|ˌsaʊθˈiːst|n. 东南方；东南部 adj. 东南方的；东南部的|Austria lies to the southeast of Germany.
ch01_149|southwest|ˌsaʊθˈwest|n. 西南方；西南部 adj. 西南方的；西南部的|Ireland is in the southwest of the British Isles.
ch01_150|northeast|ˌnɔːθˈiːst|n. 东北方；东北部 adj. 东北方的；东北部的|Snow in October is nothing strange in northeast China.
ch01_151|northwest|,nɔ:θ'west|n. 西北方；西北部 adj. 西北方的；西北部的|There is a large hilly area in the northwest.
ch01_152|eastern|ˈiːstən|adj. 东部的；东方的|The eastern situation is similarly intense.
ch01_153|oriental|ˌɔːriˈent(ə)l|adj. 东方的（尤指中国和日本的）|She has studied the cultures of oriental countries.
ch01_154|range|reɪndʒ|n. 山脉；范围|A range of hills rose on our left.
ch01_155|rural|ˈrʊərəl|adj. 农村的，乡村的；田园的|The disease occurs most frequently in rural areas.
ch01_156|suburb|ˈsʌbɜːb|n. 郊区，郊外，近郊|They proposed setting up a school in the suburbs.
ch01_157|outskirts|ˈaʊtskɜːts|n. 郊区，市郊|We live on the outskirts of the city.
ch01_158|remote|rɪˈməʊt|adj. 遥远的；偏僻的；疏远的|She came from a remote village.
ch01_159|desolate|ˈdesələt|adj. 荒凉的|So how should they escape from these desolate canyons?
ch01_160|distant|ˈdɪstənt|adj. 疏远的；遥远的|It snows all year round in that distant little village.
ch01_161|adjacent|əˈdʒeɪs(ə)nt|adj. 邻近的，毗连的|We stayed in adjacent rooms.
ch01_162|toxic|ˈtɒksɪk|adj. 有毒的|All medicines are toxic.
ch01_163|pollution|pəˈluːʃ(ə)n|n. 污染|Waste water from the factory is the main cause of pollution in local rivers.
ch01_164|pollutant|pəˈluːtənt|n. 污染物质|Coal is a heavy pollutant.
ch01_165|contaminate|kənˈtæmɪneɪt|v. 弄脏，污染|The river was contaminated with waste.
ch01_166|geology|dʒiˈɒlədʒi|n. 地质学；地质状况|He devoted all his life to the research of the agricultural geology.
ch01_167|border|ˈbɔːdə(r)|n. 边界；边界地区；镶边 v. 和……毗邻；形成……的边界|The border incident led to the war between the two countries.
ch01_168|margin|ˈmɑːdʒɪn|n. 边缘；页边空白；余地|There is no margin for error in our plan.
ch01_169|fringe|frɪndʒ|n. 边缘；刘海儿 adj. 次要的；非主流的|We feel it’s pretty good and we also offer some good fringe benefits.
ch01_170|plate|pleɪt|n.（地质学中的大陆）板块；盘|It is generally accepted that earthquakes are caused by two tectonic plates bumping into each other.
ch01_171|debris|ˈdebriː|n. 碎片，残骸|We are searching for his corpse among the debris after the explosion.
ch01_172|crack|kræk|v. 破裂；发出爆裂声 n. 裂缝；缝隙|The door opened just a crack.
ch01_173|gap|ɡæp|n. 缺口，裂缝；差距；空白|There are wide gaps in my knowledge of history.
ch01_174|splendid|ˈsplendɪd|adj. 极好的；壮观的|You’re all doing a splendid job; keep up the good work!
ch01_175|grand|ɡrænd|adj. 宏大的；豪华的，宏伟的；极好的|He was born in the purple and was brought up in the grand palace.
ch01_176|magnificent|mæɡˈnɪfɪs(ə)nt|adj. 壮丽的，宏伟的；令人印象深刻的|The king lived in this magnificent palace.
ch01_177|super|ˈsuːpə(r)|adj. 超级的，极好的|I’ve discovered a super restaurant near here!
ch01_178|interesting|ˈɪntrəstɪŋ|adj. 有趣的；引人注目的|There is an interesting programme on television tonight.
ch01_179|dramatic|drəˈmætɪk|adj. 戏剧的；引人注目的|She made a dramatic speech at the meeting.
ch01_180|wilderness|ˈwɪldənəs|n. 荒野|From his attic window, he looked out over a beautiful wilderness.
ch01_181|desert|ˈdezət|n. 沙漠 v. 离弃，遗弃；擅离|The baby’s mother deserted him soon after giving birth.
ch01_182|deforest|ˌdiːˈfɒrɪst|v. 毁掉……森林|The land is severely eroded as a result of widespread deforesting and intensive farming.
ch01_183|barren|ˈbærən|adj. 贫瘠的，荒芜的；不结果实的|That remote barren land has blossomed into rich granaries.
ch01_184|fertile|ˈfɜːtaɪl|adj. 肥沃的，富饶的|There’s enough to transform barren coral atolls into fertile groves.
ch01_185|fertilise|ˈfɜːtəlaɪz|v. 施肥于|I fertilised the lawn and pulled out the weeds.
ch01_186|solar|ˈsəʊlə(r)|adj. 太阳的，日光的|This toy is operated by solar energy.
ch01_187|lunar|ˈluːnə(r)|adj. 月亮的，月球的|All traditional Chinese festivals are lunar calendar festivals.
ch01_188|calendar|ˈkælɪndə(r)|n. 日历；历法|The Islamic calendar has fewer days than the Gregorian calendar.
ch01_189|inevitable|ɪnˈevɪtəbl|adj. 不可避免的，必然的|Such a difficult operation may not succeed, but it’s an inevitable gamble.
ch01_190|irreversible|ˌɪrɪˈvɜːsəb(ə)l|adj. 不可逆转的；不可挽回的|He suffered irreversible brain damage from the incident.
ch01_191|irregularly|ɪˈreɡjələli|adv. 不规则地；不合常规地|The patient is breathing irregularly.
ch01_192|inappropriate|ˌɪnəˈprəʊpriət|adj. 不合适的|Your bright red coat would be quite inappropriate for a funeral.
ch01_193|abnormal|æbˈnɔːm(ə)l|adj. 不正常的，反常的；变态的|El Niño will result in the abnormal weather.
ch01_194|sediment|ˈsedɪmənt|n. 沉淀物；沉积物|The sediment of coffee will settle.
ch01_195|silt|sɪlt|n. 淤泥，泥沙 v.（使）淤塞|River sediments gradually silted up the harbour.
ch01_196|muddy|ˈmʌdi|adj. 泥泞的；浑浊的|We left the car and struck out along the muddy track.
ch01_197|clay|kleɪ|n. 黏土，陶土|Bricks and dishes are made from various kinds of clay.
ch01_198|dirt|dɜːt|n. 污垢，灰尘；［尤美］泥土|The children were outside, playing happily in the dirt.
ch01_199|sunrise|ˈsʌnraɪz|n. 日出|The beauty of the sunrise is beyond description.
ch01_200|sunset|ˈsʌnset|n. 日落|By sunset we had covered thirty miles.
ch01_201|eclipse|ɪˈklɪps|n. 日食；月食|It will take about an hour to reach full eclipse stage.
ch01_202|dusk|dʌsk|n. 黄昏，傍晚|The street lights go on at dusk.
ch01_203|heaven|ˈhevn|n. 天堂；极乐（之地）；[the ~s] 天空|Our week on the tropical island was heaven.
ch01_204|paradise|ˈpærədaɪs|n. 天堂；乐园，福地|This club is a sportsman’s paradise.
ch01_205|sunshine|ˈsʌnʃaɪn|n. 阳光，日光|I was sitting in the garden, enjoying the sunshine.
ch01_206|shade|ʃeɪd|n. 阴影部分；背阴处 v. 给……遮挡（光线）|He tried to shade his house with thick trees.
ch01_207|shadow|ˈʃædəʊ|n. 影子，阴影|The willow’s shadow falls on the lake.
ch01_208|vapour|ˈveɪpə(r)|n. 蒸气；水汽|When water changes to water vapour, we say it evaporates.
ch01_209|evaporate|ɪˈvæpəreɪt|v.（使）蒸发；消失|The pool of water on the playground evaporated in the sun.
ch01_210|circulate|ˈsɜːkjəleɪt|v.（使）循环，（使）流通；（信息等）传播|Circulating blood helps transfer the body heat out to the air.
ch01_211|precipitate|prɪˈsɪpɪteɪt|v.（水汽等）凝结；沉淀|Clouds usually precipitate as rain or snow.
ch01_212|reservoir|ˈrezəvwɑː(r)|n. 水库，蓄水池|This reservoir gives water to the whole city.
ch01_213|waterfall|ˈwɔːtəfɔːl|n. 瀑布|They were filled with wonder at the new waterfall.
ch01_214|fountain|ˈfaʊntən|n. 喷泉；源泉|Social life is the fountain of wisdom for writers.
ch01_215|spring|sprɪŋ|n. 春天；泉水|It can be quite windy there, especially in spring.
ch01_216|dew|djuː|n. 露水|Dew dripped from the leaves.
ch01_217|pour|pɔː(r)|v. 倾泻；倒；（雨）倾盆而下|Tears poured from her eyes.
ch01_218|drain|dreɪn|v. 排空；（使）流出 n. 耗竭|They drain the swamp and turn it into fertile land.
ch01_219|drip|drɪp|v. 滴出（液体）；滴下|Be careful! Your paintbrush is dripping.
ch01_220|drown|draʊn|v.（使）淹死；浸泡|She attempted to drown herself in the river.
ch01_221|blow|bləʊ|v. 吹；（风）吹；吹动 n. 用力的一击；打击，挫折|Now, Peter, make a wish and blow out the candles.
ch01_222|puff|pʌf|v. 喷出；喘息 n.（吹出的）一股，一缕|Don’t puff cigarette smoke in my face.
ch01_223|gush|ɡʌʃ|v.n. 涌出|In a moment more, the crowd began to gush forth from the doors of the church.
ch01_224|dense|dens|adj. 密集的；稠密的|There will be dense fog in northern parts of the country tomorrow.
ch01_225|intensity|ɪnˈtensəti|n. 强度；强烈|I was surprised by the intensity of his anxiety.
ch01_226|intensive|ɪnˈtensɪv|adj. 加强的，集中的，密集的|Intensive care in hospitals is given to the seriously ill.
ch01_227|emerge|ɪˈmɜːdʒ|v. 浮现，露出；摆脱出来；暴露|The sun emerged from behind the clouds.
ch01_228|flash|flæʃ|v.（使）闪光；（使）闪现；（通过计算机、卫星等）快速发送 n. 闪光（灯）；闪现|The good news was flashed across the country.
ch01_229|float|fləʊt|v. 漂浮；飘浮|The smell of roses floated around.
ch01_230|environment|ɪnˈvaɪrənmənt|n. 自然环境；环境，周围状况|An increasing number of people are concerned about the pollution of the environment.
ch01_231|surrounding|səˈraʊndɪŋ|adj. 周围的，附近的|The polluted waste is often dumped unceremoniously, making the surrounding land infertile.
ch01_232|condition|kənˈdɪʃn|n. 条件；情况，状态|I had almost decided to accept their conditions at that time.
ch01_233|situation|ˌsɪtʃuˈeɪʃ(ə)n|n. 情况，处境，形势|Due to poor management, they finally got into a difficult financial situation.
ch01_234|nature|ˈneɪtʃə(r)|n. 大自然；本性；性质|In fact, nature is much better at recycling than we humans are.
ch01_235|natural|ˈnætʃrəl|adj. 自然的；天然的|It is natural that he should fall in love with such a beautiful girl.
ch01_236|artificial|ˌɑːtɪˈfɪʃl|adj. 人造的|This fruit juice contains absolutely no artificial flavourings or colourings.
ch01_237|synthetic|sɪnˈθetɪk|adj. 人造的，合成的 n. [~s] 合成物|Nylon is a synthetic material; it is not from nature.
ch01_238|petrol|ˈpetrəl|n. [ 英 ] 汽油|My new car really eats up petrol.
ch01_239|gas|ɡæs|n. 气体；[ 美 ] 汽油|There are reports that some gas stations have run out of gas.
ch01_240|gasoline|ˈɡæsəliːn|n. [ 美 ] 汽油|The price of gasoline is unstable.
ch01_241|petroleum|pəˈtrəʊliəm|n. 石油|Petroleum is an important natural resource.
